"id_viaje","distancia_km","duracion_min","velocidad_kmh"
"78","7.42","10","44.52"
"79","22.44","49","27.48"
"80","20.83","46","27.17"
"81","5.01","12","25.05"
"82","43.12","52","49.75"
"83","17.40","34","30.71"
"84","8.53","14","36.56"
"85","31.99","59","32.53"
"86","10.50","16","39.38"
"87","22.02","34","38.86"
"88","35.92","47","45.86"
"89","17.91","31","34.66"
"91","5.27","12","26.35"
"92","31.67","44","43.19"
"95","12.83","23","33.47"
"96","13.14","16","49.28"
"97","20.64","29","42.70"
"98","24.18","57","25.45"
"99","4.31","10","25.86"
"100","21.12","38","33.35"
"101","14.80","23","38.61"
"102","25.79","31","49.92"
"103","36.32","45","48.43"
"104","27.70","35","47.49"
"105","16.62","24","41.55"
"106","29.47","39","45.34"
"107","30.28","37","49.10"
"108","25.77","32","48.32"
"109","28.28","53","32.02"
"110","10.07","15","40.28"
"111","36.95","56","39.59"
"112","44.08","57","46.40"
"113","33.41","41","48.89"
"114","25.78","32","48.34"
"115","30.83","57","32.45"
"116","24.93","58","25.79"
"117","13.64","20","40.92"
"118","10.68","13","49.29"
"119","7.35","15","29.40"
"120","27.32","33","49.67"
"121","17.90","40","26.85"
"122","17.43","41","25.51"
"124","11.14","19","35.18"
"125","9.37","20","28.11"
"126","20.50","32","38.44"
"127","8.15","12","40.75"
"128","13.86","25","33.26"
"129","30.11","48","37.64"
"130","11.49","24","28.73"
"131","4.18","7","35.83"
"132","3.45","5","41.40"
"133","22.46","31","43.47"
"136","22.48","40","33.72"
"137","10.55","13","48.69"
"139","24.00","29","49.66"
"140","27.71","56","29.69"
"141","6.15","12","30.75"
"142","24.72","34","43.62"
"143","36.07","58","37.31"
"144","23.71","40","35.57"
"145","18.78","27","41.73"
"146","10.11","23","26.37"
"147","14.42","27","32.04"
"148","17.39","21","49.69"
"149","4.86","7","41.66"
"150","12.26","20","36.78"
"151","8.30","13","38.31"
"153","15.58","31","30.15"
"154","38.74","47","49.46"
"155","9.98","12","49.90"
"156","7.35","11","40.09"
"157","11.16","18","37.20"
"158","21.32","26","49.20"
"159","35.63","45","47.51"
"161","5.63","8","42.23"
"163","45.69","55","49.84"
"164","6.76","15","27.04"
"165","4.08","6","40.80"
"166","21.94","30","43.88"
"167","24.34","50","29.21"
"168","22.82","44","31.12"
"170","8.59","20","25.77"
"171","15.68","24","39.20"
"172","32.55","56","34.88"
"173","21.21","39","32.63"
"174","40.17","54","44.63"
"175","14.08","19","44.46"
"176","13.02","28","27.90"
"177","31.72","47","40.49"
"178","29.09","40","43.64"
"179","6.28","12","31.40"
"180","26.13","58","27.03"
"181","31.38","40","47.07"
"182","35.56","56","38.10"
"183","9.29","16","34.84"
"184","37.27","47","47.58"
"185","7.91","15","31.64"
"186","22.59","29","46.74"
"187","22.68","43","31.65"
"188","37.23","55","40.61"
"189","21.88","36","36.47"
"190","27.22","46","35.50"
"192","5.69","10","34.14"
"193","36.62","51","43.08"
"194","16.82","39","25.88"
"195","27.18","52","31.36"
"196","45.34","55","49.46"
"197","17.87","35","30.63"
"198","7.05","13","32.54"
"199","9.43","16","35.36"
"200","10.24","17","36.14"
"203","28.44","48","35.55"
"204","32.87","53","37.21"
"205","27.50","35","47.14"
"206","36.01","47","45.97"
"207","2.78","5","33.36"
"208","38.14","51","44.87"
"210","39.87","51","46.91"
"211","29.10","37","47.19"
"212","14.04","25","33.70"
"213","38.90","48","48.63"
"214","18.73","25","44.95"
"216","15.63","21","44.66"
"217","8.49","11","46.31"
"218","4.21","10","25.26"
"219","12.45","18","41.50"
"220","5.81","10","34.86"
"221","28.61","51","33.66"
"222","9.64","14","41.31"
"223","8.08","12","40.40"
"224","6.36","11","34.69"
"225","43.07","57","45.34"
"226","21.61","47","27.59"
"227","24.59","31","47.59"
"228","28.38","35","48.65"
"229","17.92","31","34.68"
"230","4.17","8","31.28"
"231","28.83","36","48.05"
"232","28.37","46","37.00"
"233","19.61","27","43.58"
"234","9.67","19","30.54"
"235","21.82","35","37.41"
"236","28.79","42","41.13"
"237","11.66","22","31.80"
"238","13.80","26","31.85"
"242","10.29","14","44.10"
"243","30.13","56","32.28"
"244","20.35","30","40.70"
"245","15.68","35","26.88"
"246","47.23","57","49.72"
"247","33.30","41","48.73"
"248","13.35","19","42.16"
"249","20.90","29","43.24"
"250","12.88","17","45.46"
"251","17.96","22","48.98"
"252","39.31","56","42.12"
"253","24.81","34","43.78"
"254","15.31","22","41.75"
"255","30.59","46","39.90"
"256","29.34","37","47.58"
"257","19.88","45","26.51"
"258","26.29","59","26.74"
"259","6.00","13","27.69"
"260","11.97","28","25.65"
"261","44.38","58","45.91"
"262","19.31","33","35.11"
"263","33.66","54","37.40"
"264","30.85","58","31.91"
"265","3.39","6","33.90"
"266","13.79","29","28.53"
"267","16.06","38","25.36"
"268","8.60","14","36.86"
"269","24.58","34","43.38"
"270","23.54","51","27.69"
"272","24.88","50","29.86"
"274","25.94","48","32.43"
"275","18.13","30","36.26"
"276","13.11","19","41.40"
"277","26.01","59","26.45"
"279","12.70","16","47.63"
"281","44.88","58","46.43"
"282","45.05","56","48.27"
"283","44.60","57","46.95"
"285","32.81","50","39.37"
"286","16.52","26","38.12"
"287","13.76","29","28.47"
"288","31.62","43","44.12"
"289","23.40","44","31.91"
"290","33.44","45","44.59"
"291","29.44","54","32.71"
"292","23.60","34","41.65"
"293","2.64","5","31.68"
"294","37.67","49","46.13"
"295","19.64","27","43.64"
"296","32.88","43","45.88"
"297","26.75","44","36.48"
"298","24.34","47","31.07"
"300","37.94","51","44.64"
"301","4.04","5","48.48"
"302","17.11","30","34.22"
"303","38.27","52","44.16"
"304","6.56","10","39.36"
"305","35.86","44","48.90"
"307","18.98","27","42.18"
"308","32.01","45","42.68"
"309","16.17","24","40.43"
"311","9.92","20","29.76"
"312","13.20","17","46.59"
"313","36.28","59","36.89"
"314","12.67","18","42.23"
"315","15.63","27","34.73"
"316","8.73","13","40.29"
"318","39.73","58","41.10"
"319","29.73","48","37.16"
"320","3.42","5","41.04"
"321","27.26","46","35.56"
"322","11.19","21","31.97"
"323","9.90","15","39.60"
"324","15.85","22","43.23"
"325","5.97","9","39.80"
"326","39.83","48","49.79"
"327","17.29","23","45.10"
"328","13.38","18","44.60"
"329","30.21","59","30.72"
"330","19.59","43","27.33"
"331","36.00","59","36.61"
"332","33.96","57","35.75"
"333","8.79","13","40.57"
"334","33.64","49","41.19"
"336","8.02","12","40.10"
"337","14.75","19","46.58"
"338","32.56","58","33.68"
"339","18.15","35","31.11"
"340","16.24","31","31.43"
"341","22.74","39","34.98"
"342","29.64","47","37.84"
"343","12.66","21","36.17"
"344","33.78","42","48.26"
"345","20.01","35","34.30"
"346","28.52","46","37.20"
"347","10.24","16","38.40"
"348","17.76","23","46.33"
"349","24.16","55","26.36"
"350","22.69","48","28.36"
"351","8.71","12","43.55"
"352","6.39","13","29.49"
"353","10.16","14","43.54"
"354","11.83","16","44.36"
"355","30.68","51","36.09"
"357","15.92","27","35.38"
"358","39.48","57","41.56"
"359","14.86","29","30.74"
"360","15.77","19","49.80"
"361","9.66","19","30.51"
"362","10.58","23","27.60"
"364","33.74","57","35.52"
"365","24.97","30","49.94"
"366","40.57","59","41.26"
"367","35.35","59","35.95"
"368","35.78","44","48.79"
"369","21.37","45","28.49"
"370","20.37","28","43.65"
"372","12.18","17","42.99"
"373","17.62","22","48.05"
"374","21.32","46","27.81"
"375","5.22","8","39.15"
"377","43.65","58","45.16"
"378","16.85","27","37.44"
"379","16.01","21","45.74"
"381","6.18","10","37.08"
"382","5.17","11","28.20"
"383","28.56","50","34.27"
"384","14.51","24","36.28"
"385","4.83","10","28.98"
"386","4.08","6","40.80"
"387","18.75","39","28.85"
"388","28.59","36","47.65"
"389","8.40","16","31.50"
"390","19.58","27","43.51"
"391","23.26","38","36.73"
"392","17.46","41","25.55"
"393","16.46","24","41.15"
"394","6.02","14","25.80"
"395","15.33","30","30.66"
"396","22.15","44","30.20"
"397","17.75","32","33.28"
"398","17.07","23","44.53"
"399","15.89","35","27.24"
"401","6.46","12","32.30"
"402","40.65","50","48.78"
"405","14.20","22","38.73"
"406","27.09","45","36.12"
"407","23.34","53","26.42"
"408","38.24","57","40.25"
"409","25.55","41","37.39"
"410","7.17","13","33.09"
"411","29.79","56","31.92"
"412","31.86","39","49.02"
"413","19.71","31","38.15"
"414","16.61","30","33.22"
"415","26.44","35","45.33"
"417","16.26","23","42.42"
"418","18.09","28","38.76"
"419","45.63","57","48.03"
"420","16.06","35","27.53"
"422","34.05","54","37.83"
"423","31.36","52","36.18"
"425","19.40","41","28.39"
"426","30.43","39","46.82"
"428","15.38","36","25.63"
"429","9.17","21","26.20"
"430","30.74","44","41.92"
"431","22.68","37","36.78"
"432","31.54","58","32.63"
"433","22.24","42","31.77"
"434","14.22","19","44.91"
"436","24.76","37","40.15"
"438","6.55","11","35.73"
"439","16.43","23","42.86"
"440","10.89","21","31.11"
"441","5.56","8","41.70"
"442","3.53","5","42.36"
"443","9.52","21","27.20"
"444","13.99","29","28.94"
"445","39.87","53","45.14"
"446","44.17","56","47.33"
"447","27.81","49","34.05"
"448","25.15","31","48.68"
"449","35.35","47","45.13"
"450","7.42","14","31.80"
"451","9.55","18","31.83"
"452","9.48","17","33.46"
"453","18.91","27","42.02"
"454","22.74","52","26.24"
"455","17.66","36","29.43"
"456","31.37","55","34.22"
"457","3.21","5","38.52"
"458","25.55","34","45.09"
"459","28.80","50","34.56"
"460","4.49","10","26.94"
"461","9.43","13","43.52"
"462","40.14","59","40.82"
"463","17.41","22","47.48"
"464","29.61","45","39.48"
"465","17.56","22","47.89"
"466","14.90","19","47.05"
"467","13.81","27","30.69"
"468","6.36","8","47.70"
"469","41.73","55","45.52"
"470","15.74","19","49.71"
"471","12.24","24","30.60"
"472","26.99","46","35.20"
"473","5.68","8","42.60"
"474","7.85","17","27.71"
"475","14.13","23","36.86"
"476","17.21","30","34.42"
"477","29.18","39","44.89"
"478","5.08","10","30.48"
"479","7.26","9","48.40"
"480","17.39","40","26.09"
"481","10.59","13","48.88"
"483","12.57","18","41.90"
"484","34.13","56","36.57"
"485","22.71","31","43.95"
"486","22.27","38","35.16"
"487","15.86","36","26.43"
"488","21.70","41","31.76"
"489","5.71","7","48.94"
"490","20.79","39","31.98"
"491","17.16","22","46.80"
"492","9.19","16","34.46"
"493","36.21","45","48.28"
"494","13.62","25","32.69"
"495","33.96","51","39.95"
"496","37.10","50","44.52"
"497","17.40","40","26.10"
"498","10.33","13","47.68"
"499","11.76","20","35.28"
"500","19.42","31","37.59"
"501","5.08","8","38.10"
"502","9.52","15","38.08"
"503","23.90","35","40.97"
"504","29.60","52","34.15"
"505","23.07","44","31.46"
"506","21.08","29","43.61"
"507","16.23","22","44.26"
"508","42.11","54","46.79"
"509","35.72","45","47.63"
"510","37.95","47","48.45"
"511","25.41","58","26.29"
"512","16.11","21","46.03"
"513","27.02","46","35.24"
"514","21.63","32","40.56"
"515","20.85","38","32.92"
"516","26.01","39","40.02"
"517","4.15","6","41.50"
"518","5.78","10","34.68"
"519","12.43","16","46.61"
"521","23.67","36","39.45"
"522","30.58","38","48.28"
"523","4.37","9","29.13"
"524","12.25","16","45.94"
"525","24.52","33","44.58"
"526","13.82","26","31.89"
"527","4.71","11","25.69"
"528","21.92","30","43.84"
"529","3.17","5","38.04"
"530","7.52","13","34.71"
"531","19.56","32","36.68"
"532","28.28","38","44.65"
"534","5.66","11","30.87"
"535","31.52","38","49.77"
"536","6.15","11","33.55"
"537","18.61","37","30.18"
"538","15.55","25","37.32"
"539","11.59","14","49.67"
"541","23.00","50","27.60"
"542","24.03","34","42.41"
"543","9.02","14","38.66"
"544","27.87","36","46.45"
"545","6.02","8","45.15"
"547","25.48","40","38.22"
"548","34.09","53","38.59"
"549","4.32","10","25.92"
"550","10.09","15","40.36"
"551","18.89","41","27.64"
"552","39.08","58","40.43"
"554","33.48","58","34.63"
"555","40.13","58","41.51"
"556","6.09","12","30.45"
"557","17.31","25","41.54"
"558","21.59","34","38.10"
"559","18.96","41","27.75"
"560","26.57","40","39.86"
"561","32.97","51","38.79"
"562","13.24","21","37.83"
"564","14.36","32","26.93"
"565","30.64","38","48.38"
"566","17.97","36","29.95"
"567","7.11","9","47.40"
"568","18.30","34","32.29"
"569","30.04","45","40.05"
"570","21.33","49","26.12"
"571","30.26","39","46.55"
"572","24.64","44","33.60"
"573","24.99","43","34.87"
"574","12.50","19","39.47"
"576","26.21","59","26.65"
"577","43.86","53","49.65"
"579","19.18","29","39.68"
"580","16.41","24","41.03"
"581","21.94","41","32.11"
"582","24.11","40","36.17"
"583","26.72","49","32.72"
"584","13.19","25","31.66"
"585","20.17","48","25.21"
"586","35.77","47","45.66"
"587","20.99","29","43.43"
"588","3.58","8","26.85"
"589","14.65","21","41.86"
"590","5.12","8","38.40"
"591","12.80","23","33.39"
"592","14.80","26","34.15"
"593","11.18","21","31.94"
"594","12.91","23","33.68"
"595","2.29","5","27.48"
"596","41.30","53","46.75"
"597","3.11","7","26.66"
"598","32.60","50","39.12"
"599","14.62","23","38.14"
"600","14.67","29","30.35"
"601","28.07","45","37.43"
"603","25.22","44","34.39"
"604","34.76","45","46.35"
"606","17.59","42","25.13"
"607","12.83","19","40.52"
"610","22.42","52","25.87"
"612","18.77","38","29.64"
"613","24.31","50","29.17"
"614","17.00","34","30.00"
"615","28.35","35","48.60"
"616","10.88","14","46.63"
"617","24.07","32","45.13"
"618","4.61","11","25.15"
"619","18.72","28","40.11"
"620","26.67","39","41.03"
"621","3.47","6","34.70"
"622","13.43","17","47.40"
"623","27.02","48","33.78"
"624","30.26","47","38.63"
"625","45.91","58","47.49"
"626","26.03","42","37.19"
"627","33.06","42","47.23"
"628","16.03","23","41.82"
"629","18.60","41","27.22"
"630","12.56","20","37.68"
"631","2.61","5","31.32"
"632","4.54","9","30.27"
"634","3.82","5","45.84"
"635","31.44","44","42.87"
"636","8.89","16","33.34"
"637","33.74","50","40.49"
"638","7.28","15","29.12"
"639","16.34","27","36.31"
"640","42.39","57","44.62"
"641","29.11","49","35.64"
"642","31.91","49","39.07"
"643","17.65","28","37.82"
"644","29.92","48","37.40"
"646","23.40","43","32.65"
"647","32.66","40","48.99"
"648","10.67","23","27.83"
"650","33.86","51","39.84"
"651","3.08","5","36.96"
"652","20.31","31","39.31"
"653","43.39","53","49.12"
"654","22.94","53","25.97"
"655","21.71","38","34.28"
"656","23.84","42","34.06"
"657","2.96","5","35.52"
"658","9.20","21","26.29"
"659","30.87","45","41.16"
"660","34.19","58","35.37"
"661","13.39","29","27.70"
"662","30.15","56","32.30"
"663","29.18","58","30.19"
"664","28.11","37","45.58"
"665","10.93","21","31.23"
"666","4.80","6","48.00"
"667","34.12","50","40.94"
"668","15.12","22","41.24"
"669","25.91","54","28.79"
"670","20.16","43","28.13"
"671","19.67","33","35.76"
"672","10.53","20","31.59"
"673","25.76","45","34.35"
"674","10.07","22","27.46"
"675","13.34","21","38.11"
"676","9.70","18","32.33"
"677","37.83","48","47.29"
"678","3.01","5","36.12"
"679","21.51","46","28.06"
"680","11.87","20","35.61"
"681","23.10","37","37.46"
"682","14.49","23","37.80"
"684","27.35","38","43.18"
"685","3.32","6","33.20"
"686","8.95","19","28.26"
"687","26.44","41","38.69"
"688","27.64","49","33.84"
"689","21.11","36","35.18"
"690","9.51","14","40.76"
"691","5.69","7","48.77"
"692","14.18","23","36.99"
"693","12.36","21","35.31"
"694","4.08","5","48.96"
"695","7.32","10","43.92"
"696","25.22","44","34.39"
"697","30.36","39","46.71"
"698","15.66","27","34.80"
"699","8.80","13","40.62"
"700","36.20","54","40.22"
"701","39.10","51","46.00"
"702","43.78","53","49.56"
"705","38.24","54","42.49"
"706","39.35","55","42.93"
"707","23.70","47","30.26"
"708","7.89","16","29.59"
"709","10.95","21","31.29"
"710","31.03","49","38.00"
"711","10.41","14","44.61"
"712","31.56","38","49.83"
"713","35.56","45","47.41"
"714","19.05","25","45.72"
"715","38.51","52","44.43"
"716","11.41","15","45.64"
"717","42.24","57","44.46"
"718","3.74","6","37.40"
"719","38.90","58","40.24"
"720","32.90","57","34.63"
"721","30.75","57","32.37"
"722","41.52","53","47.00"
"723","34.39","47","43.90"
"724","12.74","27","28.31"
"725","24.58","58","25.43"
"727","23.08","52","26.63"
"728","17.39","33","31.62"
"729","40.88","57","43.03"
"730","16.40","26","37.85"
"731","8.65","16","32.44"
"732","23.07","32","43.26"
"733","3.63","7","31.11"
"734","13.91","18","46.37"
"735","7.24","15","28.96"
"737","11.98","23","31.25"
"738","19.72","28","42.26"
"739","45.60","57","48.00"
"740","30.35","47","38.74"
"741","25.50","35","43.71"
"742","22.14","52","25.55"
"743","22.00","31","42.58"
"744","29.27","51","34.44"
"745","29.76","53","33.69"
"746","25.36","35","43.47"
"748","10.19","15","40.76"
"749","10.62","16","39.83"
"750","20.23","30","40.46"
"751","7.62","14","32.66"
"752","2.73","5","32.76"
"753","33.30","52","38.42"
"754","28.41","43","39.64"
"755","35.72","52","41.22"
"756","19.68","28","42.17"
"757","28.00","56","30.00"
"758","5.47","12","27.35"
"759","5.98","10","35.88"
"760","32.10","49","39.31"
"762","10.76","14","46.11"
"764","8.32","10","49.92"
"765","24.16","30","48.32"
"766","36.10","59","36.71"
"768","9.86","21","28.17"
"769","5.92","9","39.47"
"770","11.52","16","43.20"
"771","6.81","14","29.19"
"772","2.91","6","29.10"
"773","17.41","26","40.18"
"774","29.57","36","49.28"
"775","4.64","10","27.84"
"776","23.19","30","46.38"
"777","4.51","9","30.07"
"778","15.45","37","25.05"
"779","22.85","51","26.88"
"780","33.69","46","43.94"
"781","5.61","11","30.60"
"783","35.46","52","40.92"
"784","20.52","36","34.20"
"785","3.01","5","36.12"
"786","2.21","5","26.52"
"787","23.85","31","46.16"
"788","3.36","5","40.32"
"789","7.66","14","32.83"
"791","36.32","58","37.57"
"792","38.34","47","48.94"
"793","28.54","51","33.58"
"794","6.67","12","33.35"
"795","45.21","57","47.59"
"796","17.02","35","29.18"
"797","10.06","16","37.73"
"798","15.91","38","25.12"
"799","27.19","51","31.99"
"800","26.89","33","48.89"
"801","35.95","52","41.48"
"802","25.45","37","41.27"
"803","20.73","27","46.07"
"804","11.07","15","44.28"
"805","26.02","35","44.61"
"806","40.49","54","44.99"
"807","5.29","9","35.27"
"809","10.23","20","30.69"
"810","7.04","15","28.16"
"811","5.59","8","41.93"
"812","8.54","15","34.16"
"813","16.19","22","44.15"
"814","15.19","26","35.05"
"815","15.10","36","25.17"
"816","14.05","27","31.22"
"817","28.32","45","37.76"
"818","17.30","40","25.95"
"819","28.62","41","41.88"
"820","3.66","5","43.92"
"821","3.41","7","29.23"
"822","42.82","53","48.48"
"823","28.07","45","37.43"
"824","7.71","14","33.04"
"825","7.09","16","26.59"
"826","23.82","42","34.03"
"829","10.49","24","26.23"
"830","20.59","26","47.52"
"831","16.83","32","31.56"
"832","15.81","29","32.71"
"833","10.64","16","39.90"
"834","14.33","34","25.29"
"835","21.37","50","25.64"
"836","12.88","30","25.76"
"837","20.33","28","43.56"
"838","27.51","45","36.68"
"839","32.96","57","34.69"
"840","48.20","59","49.02"
"841","25.83","31","49.99"
"842","40.34","56","43.22"
"843","30.04","47","38.35"
"844","28.48","49","34.87"
"845","10.35","20","31.05"
"846","21.65","37","35.11"
"847","18.00","37","29.19"
"848","28.72","51","33.79"
"849","25.66","50","30.79"
"850","2.84","5","34.08"
"851","6.46","11","35.24"
"852","12.38","23","32.30"
"853","11.97","19","37.80"
"855","39.04","49","47.80"
"856","7.81","16","29.29"
"857","22.59","42","32.27"
"859","20.95","40","31.43"
"860","7.22","12","36.10"
"861","7.57","10","45.42"
"862","12.07","19","38.12"
"863","25.55","56","27.38"
"864","21.19","45","28.25"
"865","13.53","19","42.73"
"866","4.47","10","26.82"
"867","22.75","37","36.89"
"868","19.70","30","39.40"
"869","7.54","13","34.80"
"870","14.37","34","25.36"
"871","6.17","8","46.28"
"872","18.71","28","40.09"
"873","13.68","18","45.60"
"874","19.39","31","37.53"
"875","6.41","8","48.08"
"877","23.13","34","40.82"
"878","15.40","33","28.00"
"879","5.50","8","41.25"
"880","27.15","53","30.74"
"881","26.23","36","43.72"
"882","27.75","58","28.71"
"883","22.58","40","33.87"
"884","23.13","29","47.86"
"885","16.15","24","40.38"
"887","29.25","45","39.00"
"888","20.43","47","26.08"
"889","28.24","43","39.40"
"890","8.83","14","37.84"
"891","21.93","44","29.90"
"892","2.71","5","32.52"
"893","23.90","48","29.88"
"894","14.15","22","38.59"
"895","19.73","47","25.19"
"896","35.72","54","39.69"
"897","32.82","45","43.76"
"898","28.27","48","35.34"
"899","17.68","26","40.80"
"900","20.55","40","30.83"
"901","3.99","5","47.88"
"903","5.08","8","38.10"
"904","42.69","53","48.33"
"905","31.28","56","33.51"
"906","7.04","13","32.49"
"907","7.15","13","33.00"
"908","30.61","42","43.73"
"909","13.55","27","30.11"
"910","23.89","47","30.50"
"911","17.28","40","25.92"
"912","17.78","25","42.67"
"913","16.10","25","38.64"
"914","31.49","47","40.20"
"915","26.48","38","41.81"
"916","39.32","49","48.15"
"917","39.61","53","44.84"
"918","13.33","19","42.09"
"919","8.04","16","30.15"
"920","2.99","5","35.88"
"921","7.01","11","38.24"
"922","10.18","17","35.93"
"923","42.89","53","48.55"
"924","13.04","23","34.02"
"925","3.37","5","40.44"
"926","8.40","18","28.00"
"927","38.56","50","46.27"
"928","17.71","31","34.28"
"929","45.97","57","48.39"
"930","14.09","21","40.26"
"931","23.86","32","44.74"
"932","24.41","48","30.51"
"933","25.35","46","33.07"
"934","4.00","9","26.67"
"935","47.74","59","48.55"
"936","28.08","37","45.54"
"937","26.74","43","37.31"
"939","4.71","6","47.10"
"941","23.78","30","47.56"
"943","39.38","57","41.45"
"944","13.24","16","49.65"
"945","12.31","27","27.36"
"946","22.09","30","44.18"
"947","35.89","47","45.82"
"948","33.60","52","38.77"
"949","17.79","38","28.09"
"950","24.40","36","40.67"
"951","8.59","13","39.65"
"952","8.75","11","47.73"
"953","12.51","24","31.28"
"954","37.64","56","40.33"
"955","3.29","6","32.90"
"956","26.73","44","36.45"
"957","13.48","21","38.51"
"958","15.02","30","30.04"
"959","13.46","22","36.71"
"960","22.33","37","36.21"
"961","5.46","10","32.76"
"962","4.35","6","43.50"
"963","23.27","44","31.73"
"964","19.90","35","34.11"
"965","14.07","23","36.70"
"966","12.59","20","37.77"
"967","23.75","55","25.91"
"968","2.58","5","30.96"
"969","21.61","39","33.25"
"970","3.96","5","47.52"
"971","28.49","38","44.98"
"972","23.41","41","34.26"
"973","33.18","51","39.04"
"974","23.04","28","49.37"
"975","29.61","48","37.01"
"976","13.27","25","31.85"
"978","16.64","25","39.94"
"979","7.92","10","47.52"
"981","23.67","45","31.56"
"982","22.86","31","44.25"
"984","33.06","59","33.62"
"985","31.72","57","33.39"
"986","31.66","38","49.99"
"987","16.30","25","39.12"
"988","9.59","15","38.36"
"989","24.71","43","34.48"
"990","20.66","30","41.32"
"991","18.78","41","27.48"
"992","28.74","45","38.32"
"993","29.57","38","46.69"
"994","3.48","5","41.76"
"995","26.32","34","46.45"
"996","34.27","44","46.73"
"997","32.74","45","43.65"
"998","38.60","56","41.36"
"999","7.64","18","25.47"
"1000","12.87","19","40.64"
"1002","32.25","58","33.36"
"1003","4.62","8","34.65"
"1005","12.35","16","46.31"
"1006","22.13","30","44.26"
"1007","5.51","8","41.33"
"1008","3.24","5","38.88"
"1009","26.48","33","48.15"
"1010","2.55","5","30.60"
"1011","19.43","31","37.61"
"1012","28.93","47","36.93"
"1013","20.38","27","45.29"
"1014","28.70","54","31.89"
"1016","29.85","50","35.82"
"1017","6.58","8","49.35"
"1018","28.37","38","44.79"
"1019","5.08","8","38.10"
"1020","17.82","23","46.49"
"1021","20.95","48","26.19"
"1022","16.72","26","38.58"
"1023","27.56","41","40.33"
"1024","20.24","25","48.58"
"1025","27.07","50","32.48"
"1026","34.33","55","37.45"
"1027","28.91","58","29.91"
"1028","7.19","9","47.93"
"1029","39.36","59","40.03"
"1030","32.04","46","41.79"
"1031","39.81","58","41.18"
"1032","21.12","35","36.21"
"1033","17.59","30","35.18"
"1034","4.79","7","41.06"
"1035","18.27","25","43.85"
"1036","12.72","18","42.40"
"1037","21.60","32","40.50"
"1038","5.90","10","35.40"
"1039","25.38","35","43.51"
"1042","13.46","23","35.11"
"1043","22.20","37","36.00"
"1045","21.79","28","46.69"
"1046","37.41","45","49.88"
"1047","34.52","53","39.08"
"1048","14.43","20","43.29"
"1049","7.26","9","48.40"
"1050","23.09","54","25.66"
"1051","12.49","22","34.06"
"1053","17.56","35","30.10"
"1054","9.82","12","49.10"
"1055","9.92","17","35.01"
"1056","32.97","56","35.33"
"1057","34.35","47","43.85"
"1058","26.77","55","29.20"
"1059","5.97","10","35.82"
"1060","22.37","37","36.28"
"1061","6.25","10","37.50"
"1063","33.07","44","45.10"
"1064","11.14","16","41.78"
"1065","11.61","23","30.29"
"1066","18.23","25","43.75"
"1067","40.42","53","45.76"
"1068","5.68","12","28.40"
"1069","24.18","56","25.91"
"1070","20.39","32","38.23"
"1071","8.46","14","36.26"
"1072","9.84","23","25.67"
"1074","23.66","48","29.58"
"1075","44.39","54","49.32"
"1076","37.33","54","41.48"
"1077","40.22","55","43.88"
"1078","13.01","29","26.92"
"1079","27.95","50","33.54"
"1080","26.60","41","38.93"
"1081","20.34","38","32.12"
"1082","9.40","12","47.00"
"1083","33.16","59","33.72"
"1084","8.09","10","48.54"
"1085","6.28","11","34.25"
"1087","2.79","5","33.48"
"1088","17.38","34","30.67"
"1089","2.31","5","27.72"
"1090","29.87","40","44.81"
"1091","4.56","6","45.60"
