"fecha","hora","dia_semana","num_viajes","tarifa_promedio","conductores_unicos"
"2026-06-03","4","4","5","30.55","5"
"2026-06-03","5","4","3","37.52","3"
"2026-06-03","6","4","4","36.30","4"
"2026-06-03","7","4","15","38.79","9"
"2026-06-03","8","4","14","36.95","9"
"2026-06-03","9","4","15","41.71","9"
"2026-06-03","10","4","12","46.84","7"
"2026-06-03","11","4","9","34.49","8"
"2026-06-03","12","4","9","32.34","5"
"2026-06-03","13","4","9","38.33","6"
"2026-06-03","14","4","11","49.52","9"
"2026-06-03","15","4","10","43.13","7"
"2026-06-03","16","4","8","48.61","6"
"2026-06-03","17","4","15","34.10","8"
"2026-06-03","18","4","10","46.30","8"
"2026-06-03","19","4","15","45.44","9"
"2026-06-03","20","4","10","30.49","8"
"2026-06-03","21","4","9","52.99","8"
"2026-06-03","22","4","9","41.86","5"
"2026-06-03","23","4","3","55.29","3"
"2026-06-04","0","5","4","50.49","4"
"2026-06-04","1","5","4","41.58","4"
"2026-06-04","2","5","3","36.58","3"
"2026-06-04","3","5","4","32.38","4"
"2026-06-04","4","5","4","39.46","4"
"2026-06-04","5","5","2","39.20","2"
"2026-06-04","6","5","5","39.23","3"
"2026-06-04","7","5","14","40.46","8"
"2026-06-04","8","5","14","48.88","10"
"2026-06-04","9","5","14","51.14","8"
"2026-06-04","10","5","11","48.11","7"
"2026-06-04","11","5","11","41.55","8"
"2026-06-04","12","5","9","33.57","7"
"2026-06-04","13","5","12","32.68","8"
"2026-06-04","14","5","9","39.08","6"
"2026-06-04","15","5","13","46.70","7"
"2026-06-04","16","5","11","32.68","9"
"2026-06-04","17","5","13","36.95","9"
"2026-06-04","18","5","15","49.83","10"
"2026-06-04","19","5","13","34.17","7"
"2026-06-04","20","5","13","32.51","7"
"2026-06-04","21","5","11","45.19","7"
"2026-06-04","22","5","12","44.45","8"
"2026-06-04","23","5","4","42.24","4"
"2026-06-05","0","6","3","31.94","3"
"2026-06-05","1","6","2","40.49","1"
"2026-06-05","2","6","3","36.58","3"
"2026-06-05","3","6","3","62.58","3"
"2026-06-05","4","6","2","51.91","2"
"2026-06-05","5","6","2","15.90","2"
"2026-06-05","6","6","4","37.62","4"
"2026-06-05","7","6","14","45.14","8"
"2026-06-05","8","6","13","45.18","7"
"2026-06-05","9","6","15","32.79","9"
"2026-06-05","10","6","7","44.95","6"
"2026-06-05","11","6","6","46.54","3"
"2026-06-05","12","6","9","41.81","6"
"2026-06-05","13","6","8","47.90","6"
"2026-06-05","14","6","8","32.00","7"
"2026-06-05","15","6","7","40.77","4"
"2026-06-05","16","6","9","50.30","7"
"2026-06-05","17","6","12","40.30","7"
"2026-06-05","18","6","14","42.51","7"
"2026-06-05","19","6","13","38.55","8"
"2026-06-05","20","6","9","56.37","8"
"2026-06-05","21","6","8","22.51","6"
"2026-06-05","22","6","9","45.88","4"
"2026-06-05","23","6","1","38.73","1"
"2026-06-06","0","7","3","31.64","3"
"2026-06-06","1","7","3","42.65","3"
"2026-06-06","2","7","2","52.27","2"
"2026-06-06","3","7","1","28.31","1"
"2026-06-06","4","7","2","33.31","2"
"2026-06-06","5","7","1","85.80","1"
"2026-06-06","6","7","3","50.22","3"
"2026-06-06","7","7","12","37.45","8"
"2026-06-06","8","7","15","50.97","9"
"2026-06-06","9","7","13","39.65","7"
"2026-06-06","10","7","7","38.32","4"
"2026-06-06","11","7","5","34.19","5"
"2026-06-06","12","7","7","41.12","3"
"2026-06-06","13","7","5","49.76","4"
"2026-06-06","14","7","6","31.96","5"
"2026-06-06","15","7","5","48.97","5"
"2026-06-06","16","7","5","48.19","4"
"2026-06-06","17","7","15","48.30","9"
"2026-06-06","18","7","14","39.57","7"
"2026-06-06","19","7","13","43.05","9"
"2026-06-06","20","7","4","54.50","3"
"2026-06-06","21","7","6","48.11","4"
"2026-06-06","22","7","7","39.06","7"
"2026-06-06","23","7","2","65.73","2"
"2026-06-07","0","1","1","22.65","1"
"2026-06-07","1","1","2","48.29","2"
"2026-06-07","2","1","1","49.30","1"
"2026-06-07","3","1","1","14.30","1"
"2026-06-07","4","1","2","48.75","2"
"2026-06-07","5","1","2","30.40","2"
"2026-06-07","6","1","1","66.33","1"
"2026-06-07","7","1","12","32.31","8"
"2026-06-07","8","1","12","37.94","8"
"2026-06-07","9","1","14","47.36","9"
"2026-06-07","10","1","5","39.69","4"
"2026-06-07","11","1","4","40.12","4"
"2026-06-07","12","1","5","57.50","5"
"2026-06-07","13","1","6","43.68","5"
"2026-06-07","14","1","4","45.15","4"
"2026-06-07","15","1","6","29.98","5"
"2026-06-07","16","1","5","34.14","4"
"2026-06-07","17","1","14","40.57","8"
"2026-06-07","18","1","12","34.04","8"
"2026-06-07","19","1","14","43.73","8"
"2026-06-07","20","1","4","23.81","4"
"2026-06-07","21","1","4","50.77","4"
"2026-06-07","22","1","4","45.49","4"
"2026-06-07","23","1","1","11.76","1"
"2026-06-08","0","2","3","29.05","3"
"2026-06-08","1","2","2","24.36","2"
"2026-06-08","2","2","3","33.04","3"
"2026-06-08","3","2","4","34.94","4"
"2026-06-08","4","2","3","37.64","2"
"2026-06-08","5","2","4","31.58","3"
"2026-06-08","6","2","2","51.40","2"
"2026-06-08","7","2","14","40.25","9"
"2026-06-08","8","2","14","35.10","8"
"2026-06-08","9","2","14","37.11","7"
"2026-06-08","10","2","8","36.62","6"
"2026-06-08","11","2","8","30.97","7"
"2026-06-08","12","2","8","51.11","7"
"2026-06-08","13","2","10","53.58","8"
"2026-06-08","14","2","7","37.18","5"
"2026-06-08","15","2","9","44.35","5"
"2026-06-08","16","2","9","56.94","4"
"2026-06-08","17","2","13","44.95","8"
"2026-06-08","18","2","14","47.43","7"
"2026-06-08","19","2","13","35.07","8"
"2026-06-08","20","2","10","39.19","5"
"2026-06-08","21","2","8","41.82","6"
"2026-06-08","22","2","9","44.88","7"
"2026-06-08","23","2","3","23.55","3"
"2026-06-09","0","3","3","32.65","3"
"2026-06-09","1","3","4","32.32","4"
"2026-06-09","2","3","4","36.65","4"
"2026-06-09","3","3","4","40.10","3"
"2026-06-09","4","3","2","27.16","2"
"2026-06-09","5","3","3","26.46","3"
"2026-06-09","6","3","3","40.38","3"
"2026-06-09","7","3","15","45.01","8"
"2026-06-09","8","3","15","46.08","8"
"2026-06-09","9","3","15","41.27","10"
"2026-06-09","10","3","10","48.80","6"
"2026-06-09","11","3","11","43.36","8"
"2026-06-09","12","3","10","36.42","8"
"2026-06-09","13","3","11","40.45","8"
"2026-06-09","14","3","10","47.33","7"
"2026-06-09","15","3","9","35.27","7"
"2026-06-09","16","3","7","44.29","6"
"2026-06-09","17","3","15","41.44","10"
"2026-06-09","18","3","15","43.39","9"
"2026-06-09","19","3","15","42.00","8"
"2026-06-09","20","3","11","50.84","8"
"2026-06-09","21","3","9","42.33","6"
"2026-06-09","22","3","10","42.22","7"
"2026-06-09","23","3","3","45.00","3"
"2026-06-10","0","4","3","33.43","2"
"2026-06-10","1","4","4","53.77","3"
"2026-06-10","2","4","3","16.56","3"
"2026-06-10","3","4","4","41.97","4"
"2026-06-10","4","4","3","51.21","2"
"2026-06-10","5","4","3","51.90","2"
"2026-06-10","6","4","3","58.66","3"
"2026-06-10","7","4","13","38.15","9"
"2026-06-10","8","4","12","40.51","9"
"2026-06-10","9","4","14","39.49","8"
"2026-06-10","10","4","9","33.58","7"
"2026-06-10","11","4","10","45.32","6"
"2026-06-10","12","4","11","47.11","7"
"2026-06-10","13","4","9","44.62","7"
"2026-06-10","14","4","12","36.91","8"
"2026-06-10","15","4","8","27.47","7"
"2026-06-10","16","4","9","40.54","5"
"2026-06-10","17","4","14","43.73","10"
"2026-06-10","18","4","13","45.45","8"
"2026-06-10","19","4","13","37.20","8"
"2026-06-10","20","4","10","44.46","7"
"2026-06-10","21","4","9","40.28","5"
"2026-06-10","22","4","12","52.11","6"
"2026-06-10","23","4","1","44.86","1"
"2026-06-11","0","5","3","43.87","3"
"2026-06-11","1","5","4","43.06","4"
"2026-06-11","2","5","4","33.14","3"
"2026-06-11","3","5","4","25.24","3"
"2026-06-11","4","5","3","13.13","3"
"2026-06-11","5","5","3","29.36","3"
"2026-06-11","6","5","3","47.26","3"
"2026-06-11","7","5","15","42.28","8"
"2026-06-11","8","5","11","41.67","8"
"2026-06-11","9","5","9","37.17","4"
"2026-06-11","10","5","10","42.56","7"
"2026-06-11","11","5","11","34.20","9"
"2026-06-11","12","5","9","28.97","8"
"2026-06-11","13","5","8","33.47","7"
"2026-06-11","14","5","11","44.69","5"
"2026-06-11","15","5","12","45.04","9"
"2026-06-11","16","5","8","45.67","5"
"2026-06-11","17","5","12","40.47","8"
"2026-06-11","18","5","13","37.23","7"
"2026-06-11","19","5","15","36.06","9"
"2026-06-11","20","5","10","41.33","7"
"2026-06-11","21","5","11","46.25","5"
"2026-06-11","22","5","9","30.45","7"
"2026-06-11","23","5","3","30.70","3"
"2026-06-12","0","6","3","34.02","3"
"2026-06-12","1","6","3","24.86","3"
"2026-06-12","2","6","2","43.24","2"
"2026-06-12","3","6","3","47.73","2"
"2026-06-12","4","6","3","37.99","3"
"2026-06-12","5","6","2","38.39","2"
"2026-06-12","6","6","3","43.25","2"
"2026-06-12","7","6","15","45.97","10"
"2026-06-12","8","6","14","39.16","6"
"2026-06-12","9","6","14","37.40","11"
"2026-06-12","10","6","8","38.29","7"
"2026-06-12","11","6","8","45.70","7"
"2026-06-12","12","6","8","39.60","5"
"2026-06-12","13","6","8","29.20","7"
"2026-06-12","14","6","8","38.28","7"
"2026-06-12","15","6","6","19.73","5"
"2026-06-12","16","6","8","36.78","8"
"2026-06-12","17","6","14","36.01","8"
"2026-06-12","18","6","11","50.31","9"
"2026-06-12","19","6","14","43.26","8"
"2026-06-12","20","6","7","45.89","4"
"2026-06-12","21","6","10","36.80","5"
"2026-06-12","22","6","7","33.03","6"
"2026-06-12","23","6","3","37.43","3"
"2026-06-13","0","7","1","35.62","1"
"2026-06-13","1","7","2","50.80","2"
"2026-06-13","2","7","2","35.80","2"
"2026-06-13","3","7","1","55.27","1"
"2026-06-13","4","7","2","27.34","2"
"2026-06-13","6","7","1","52.66","1"
"2026-06-13","7","7","12","51.06","8"
"2026-06-13","8","7","12","30.71","7"
"2026-06-13","9","7","14","45.94","8"
"2026-06-13","10","7","5","27.45","4"
"2026-06-13","11","7","5","47.63","3"
"2026-06-13","12","7","6","28.22","5"
"2026-06-13","13","7","5","51.24","3"
"2026-06-13","14","7","5","51.48","5"
"2026-06-13","15","7","4","36.98","4"
"2026-06-13","16","7","4","56.54","3"
"2026-06-13","17","7","12","37.83","8"
"2026-06-13","18","7","14","44.52","6"
"2026-06-13","19","7","14","47.43","8"
"2026-06-13","20","7","5","40.98","4"
"2026-06-13","21","7","6","29.07","5"
"2026-06-13","22","7","5","54.92","3"
"2026-06-13","23","7","2","17.79","2"
"2026-06-14","0","1","3","37.25","3"
"2026-06-14","1","1","3","66.02","3"
"2026-06-14","2","1","3","37.58","3"
"2026-06-14","3","1","2","41.58","2"
"2026-06-14","4","1","3","49.17","3"
"2026-06-14","5","1","2","25.90","2"
"2026-06-14","6","1","3","40.76","3"
"2026-06-14","7","1","12","34.60","8"
"2026-06-14","8","1","15","38.82","8"
"2026-06-14","9","1","14","54.62","8"
"2026-06-14","10","1","7","33.71","4"
"2026-06-14","11","1","4","29.97","3"
"2026-06-14","12","1","6","34.38","4"
"2026-06-14","13","1","6","48.08","6"
"2026-06-14","14","1","7","36.74","6"
"2026-06-14","15","1","7","45.42","5"
"2026-06-14","16","1","5","23.60","4"
"2026-06-14","17","1","13","37.36","7"
"2026-06-14","18","1","15","38.29","9"
"2026-06-14","19","1","12","46.76","6"
"2026-06-14","20","1","6","39.09","5"
"2026-06-14","21","1","5","41.22","3"
"2026-06-14","22","1","6","29.46","3"
"2026-06-14","23","1","2","47.21","2"
"2026-06-15","0","2","3","48.61","2"
"2026-06-15","1","2","3","26.55","3"
"2026-06-15","2","2","2","47.48","2"
"2026-06-15","3","2","4","25.71","3"
"2026-06-15","4","2","4","31.25","3"
"2026-06-15","5","2","2","45.43","2"
"2026-06-15","6","2","4","44.43","3"
"2026-06-15","7","2","10","37.76","8"
"2026-06-15","8","2","14","39.19","9"
"2026-06-15","9","2","14","41.83","10"
"2026-06-15","10","2","9","37.80","8"
"2026-06-15","11","2","8","53.06","6"
"2026-06-15","12","2","8","27.27","6"
"2026-06-15","13","2","10","35.75","8"
"2026-06-15","14","2","10","51.06","5"
"2026-06-15","15","2","10","53.57","9"
"2026-06-15","16","2","9","32.97","5"
"2026-06-15","17","2","13","35.59","7"
"2026-06-15","18","2","14","41.75","9"
"2026-06-15","19","2","11","42.77","6"
"2026-06-15","20","2","10","40.70","8"
"2026-06-15","21","2","9","38.19","7"
"2026-06-15","22","2","9","36.12","6"
"2026-06-15","23","2","2","34.33","1"
"2026-06-16","0","3","2","50.07","2"
"2026-06-16","1","3","5","59.85","4"
"2026-06-16","2","3","4","43.33","3"
"2026-06-16","3","3","4","53.51","3"
"2026-06-16","4","3","3","32.95","3"
"2026-06-16","5","3","3","45.02","3"
"2026-06-16","6","3","3","46.14","2"
"2026-06-16","7","3","12","28.80","8"
"2026-06-16","8","3","14","35.06","8"
"2026-06-16","9","3","11","38.71","7"
"2026-06-16","10","3","10","34.14","8"
"2026-06-16","11","3","12","43.96","8"
"2026-06-16","12","3","12","36.84","6"
"2026-06-16","13","3","10","41.00","7"
"2026-06-16","14","3","12","43.20","7"
"2026-06-16","15","3","10","30.70","7"
"2026-06-16","16","3","10","41.95","9"
"2026-06-16","17","3","14","40.60","9"
"2026-06-16","18","3","13","44.45","7"
"2026-06-16","19","3","14","55.82","9"
"2026-06-16","20","3","11","46.71","7"
"2026-06-16","21","3","11","35.32","9"
"2026-06-16","22","3","12","41.56","9"
"2026-06-16","23","3","4","29.94","3"
"2026-06-17","0","4","3","46.65","3"
"2026-06-17","1","4","3","37.02","3"
"2026-06-17","2","4","2","48.69","2"
"2026-06-17","3","4","2","49.59","2"
"2026-06-17","4","4","1","42.32","1"
"2026-06-17","5","4","3","50.59","3"
"2026-06-17","6","4","2","44.10","2"
"2026-06-17","7","4","13","37.70","10"
"2026-06-17","8","4","15","39.71","6"
"2026-06-17","9","4","14","39.03","9"
"2026-06-17","10","4","8","54.43","7"
"2026-06-17","11","4","7","41.17","6"
"2026-06-17","12","4","7","38.17","6"
"2026-06-17","13","4","9","33.93","8"
"2026-06-17","14","4","8","32.26","7"
"2026-06-17","15","4","8","45.37","6"
"2026-06-17","16","4","9","28.94","7"
"2026-06-17","17","4","13","42.21","9"
"2026-06-17","18","4","15","41.56","7"
"2026-06-17","19","4","14","43.40","10"
"2026-06-17","20","4","8","32.20","7"
"2026-06-17","21","4","7","47.78","6"
"2026-06-17","22","4","7","47.40","5"
"2026-06-17","23","4","1","38.05","1"
"2026-06-18","0","5","4","45.45","4"
"2026-06-18","1","5","4","54.29","4"
"2026-06-18","2","5","4","43.84","3"
"2026-06-18","3","5","3","27.46","3"
"2026-06-18","4","5","3","34.04","3"
"2026-06-18","5","5","4","60.33","4"
"2026-06-18","6","5","3","19.06","3"
"2026-06-18","7","5","15","45.59","10"
"2026-06-18","8","5","14","35.98","9"
"2026-06-18","9","5","14","34.28","10"
"2026-06-18","10","5","10","36.58","8"
"2026-06-18","11","5","11","38.20","8"
"2026-06-18","12","5","12","36.63","9"
"2026-06-18","13","5","13","32.60","7"
"2026-06-18","14","5","11","39.70","8"
"2026-06-18","15","5","13","42.00","8"
"2026-06-18","16","5","11","34.22","7"
"2026-06-18","17","5","14","46.94","8"
"2026-06-18","18","5","15","40.30","9"
"2026-06-18","19","5","13","43.36","9"
"2026-06-18","20","5","10","51.10","5"
"2026-06-18","21","5","12","44.46","8"
"2026-06-18","22","5","12","38.01","10"
"2026-06-18","23","5","3","48.93","2"
"2026-06-19","0","6","4","47.27","3"
"2026-06-19","1","6","4","38.26","3"
"2026-06-19","2","6","2","33.13","2"
"2026-06-19","3","6","1","51.87","1"
"2026-06-19","4","6","3","33.44","3"
"2026-06-19","5","6","3","47.07","2"
"2026-06-19","6","6","2","42.38","2"
"2026-06-19","7","6","14","44.55","7"
"2026-06-19","8","6","14","35.50","8"
"2026-06-19","9","6","15","38.90","7"
"2026-06-19","10","6","6","28.88","6"
"2026-06-19","11","6","8","38.41","6"
"2026-06-19","12","6","8","46.13","6"
"2026-06-19","13","6","7","53.04","6"
"2026-06-19","14","6","7","39.85","7"
"2026-06-19","15","6","9","51.19","7"
"2026-06-19","16","6","9","42.89","5"
"2026-06-19","17","6","13","51.05","8"
"2026-06-19","18","6","15","49.31","9"
"2026-06-19","19","6","14","41.19","11"
"2026-06-19","20","6","8","45.03","6"
"2026-06-19","21","6","8","22.14","6"
"2026-06-19","22","6","5","47.09","4"
"2026-06-19","23","6","2","36.60","2"
"2026-06-20","0","7","3","37.40","3"
"2026-06-20","1","7","1","23.65","1"
"2026-06-20","3","7","1","48.84","1"
"2026-06-20","4","7","2","16.27","2"
"2026-06-20","5","7","1","51.05","1"
"2026-06-20","6","7","3","21.23","3"
"2026-06-20","7","7","12","45.57","8"
"2026-06-20","8","7","15","38.94","11"
"2026-06-20","9","7","13","40.28","8"
"2026-06-20","10","7","5","44.02","4"
"2026-06-20","11","7","3","38.11","3"
"2026-06-20","12","7","5","39.50","4"
"2026-06-20","13","7","5","53.57","5"
"2026-06-20","14","7","5","35.86","4"
"2026-06-20","15","7","6","29.98","5"
"2026-06-20","16","7","4","39.84","4"
"2026-06-20","17","7","12","32.97","7"
"2026-06-20","18","7","13","34.79","6"
"2026-06-20","19","7","14","44.31","8"
"2026-06-20","20","7","5","45.29","4"
"2026-06-20","21","7","6","36.43","5"
"2026-06-20","22","7","6","27.10","4"
"2026-06-20","23","7","1","10.01","1"
"2026-06-21","0","1","3","51.04","3"
"2026-06-21","1","1","2","63.70","2"
"2026-06-21","2","1","3","34.82","3"
"2026-06-21","3","1","2","41.88","2"
"2026-06-21","4","1","3","22.93","1"
"2026-06-21","5","1","1","33.52","1"
"2026-06-21","6","1","3","41.30","3"
"2026-06-21","7","1","14","48.30","10"
"2026-06-21","8","1","12","41.76","9"
"2026-06-21","9","1","14","53.40","11"
"2026-06-21","10","1","6","33.60","5"
"2026-06-21","11","1","6","43.64","5"
"2026-06-21","12","1","4","49.24","3"
"2026-06-21","13","1","5","39.95","5"
"2026-06-21","14","1","5","44.60","5"
"2026-06-21","15","1","6","33.67","5"
"2026-06-21","16","1","5","43.48","4"
"2026-06-21","17","1","14","40.89","7"
"2026-06-21","18","1","15","42.00","10"
"2026-06-21","19","1","15","36.52","6"
"2026-06-21","20","1","7","36.87","4"
"2026-06-21","21","1","7","37.28","6"
"2026-06-21","22","1","6","52.98","3"
"2026-06-21","23","1","3","41.25","3"
"2026-06-22","0","2","3","43.66","2"
"2026-06-22","1","2","4","46.60","3"
"2026-06-22","2","2","3","41.62","2"
"2026-06-22","3","2","3","35.11","2"
"2026-06-22","4","2","3","46.34","2"
"2026-06-22","5","2","4","50.61","3"
"2026-06-22","6","2","2","22.54","2"
"2026-06-22","7","2","9","42.94","7"
"2026-06-22","8","2","12","42.71","11"
"2026-06-22","9","2","12","44.19","9"
"2026-06-22","10","2","9","36.96","7"
"2026-06-22","11","2","10","35.33","6"
"2026-06-22","12","2","10","50.58","7"
"2026-06-22","13","2","10","40.96","7"
"2026-06-22","14","2","7","44.77","4"
"2026-06-22","15","2","9","42.84","8"
"2026-06-22","16","2","8","42.96","7"
"2026-06-22","17","2","13","42.39","8"
"2026-06-22","18","2","12","39.72","9"
"2026-06-22","19","2","14","36.47","9"
"2026-06-22","20","2","7","41.11","6"
"2026-06-22","21","2","8","45.73","6"
"2026-06-22","22","2","8","44.57","6"
"2026-06-22","23","2","4","45.86","4"
"2026-06-23","0","3","3","27.53","3"
"2026-06-23","1","3","3","51.66","3"
"2026-06-23","2","3","3","31.77","2"
"2026-06-23","3","3","3","40.62","3"
"2026-06-23","4","3","4","36.55","4"
"2026-06-23","5","3","3","62.41","3"
"2026-06-23","6","3","3","33.20","2"
"2026-06-23","7","3","15","43.12","10"
"2026-06-23","8","3","13","38.55","9"
"2026-06-23","9","3","15","47.10","9"
"2026-06-23","10","3","6","47.98","5"
"2026-06-23","11","3","9","48.52","8"
"2026-06-23","12","3","12","49.61","9"
"2026-06-23","13","3","9","41.93","5"
"2026-06-23","14","3","9","40.25","4"
"2026-06-23","15","3","11","41.68","6"
"2026-06-23","16","3","10","45.04","6"
"2026-06-23","17","3","12","39.63","7"
"2026-06-23","18","3","14","39.22","7"
"2026-06-23","19","3","15","41.16","10"
"2026-06-23","20","3","12","49.32","8"
"2026-06-23","21","3","10","36.80","4"
"2026-06-23","22","3","8","33.99","6"
"2026-06-23","23","3","4","58.20","4"
"2026-06-24","0","4","4","40.08","4"
"2026-06-24","1","4","3","54.90","3"
"2026-06-24","2","4","1","54.47","1"
"2026-06-24","3","4","3","40.31","2"
"2026-06-24","4","4","4","53.28","4"
"2026-06-24","5","4","3","43.59","3"
"2026-06-24","6","4","3","49.69","3"
"2026-06-24","7","4","14","32.25","9"
"2026-06-24","8","4","11","43.70","7"
"2026-06-24","9","4","12","51.55","8"
"2026-06-24","10","4","11","38.68","6"
"2026-06-24","11","4","10","42.11","6"
"2026-06-24","12","4","10","46.42","7"
"2026-06-24","13","4","12","33.20","7"
"2026-06-24","14","4","11","41.76","8"
"2026-06-24","15","4","9","42.56","7"
"2026-06-24","16","4","9","42.71","6"
"2026-06-24","17","4","13","31.29","8"
"2026-06-24","18","4","13","33.27","7"
"2026-06-24","19","4","15","34.17","11"
"2026-06-24","20","4","9","41.46","8"
"2026-06-24","21","4","9","37.99","7"
"2026-06-24","22","4","9","38.69","7"
"2026-06-24","23","4","4","49.56","4"
"2026-06-25","0","5","2","41.64","2"
"2026-06-25","1","5","4","49.13","4"
"2026-06-25","2","5","3","39.32","3"
"2026-06-25","3","5","3","56.13","2"
"2026-06-25","4","5","4","47.78","3"
"2026-06-25","5","5","3","40.13","2"
"2026-06-25","6","5","2","28.20","2"
"2026-06-25","7","5","13","54.95","10"
"2026-06-25","8","5","12","32.54","9"
"2026-06-25","9","5","12","44.49","9"
"2026-06-25","10","5","6","41.50","6"
"2026-06-25","11","5","8","38.42","6"
"2026-06-25","12","5","9","44.38","7"
"2026-06-25","13","5","10","38.76","7"
"2026-06-25","14","5","8","47.03","7"
"2026-06-25","15","5","7","37.94","6"
"2026-06-25","16","5","7","44.33","7"
"2026-06-25","17","5","13","41.39","7"
"2026-06-25","18","5","12","54.01","6"
"2026-06-25","19","5","14","48.84","8"
"2026-06-25","20","5","8","42.94","6"
"2026-06-25","21","5","7","40.69","5"
"2026-06-25","22","5","9","42.49","7"
"2026-06-25","23","5","2","39.08","1"
"2026-06-26","0","6","4","31.41","4"
"2026-06-26","1","6","3","33.34","3"
"2026-06-26","2","6","3","69.08","2"
"2026-06-26","3","6","3","41.74","2"
"2026-06-26","4","6","4","27.05","3"
"2026-06-26","5","6","3","34.75","3"
"2026-06-26","6","6","4","38.70","2"
"2026-06-26","7","6","15","40.79","8"
"2026-06-26","8","6","13","41.23","7"
"2026-06-26","9","6","15","35.85","10"
"2026-06-26","10","6","10","44.59","7"
"2026-06-26","11","6","10","46.47","6"
"2026-06-26","12","6","7","50.33","6"
"2026-06-26","13","6","8","53.98","6"
"2026-06-26","14","6","9","38.33","3"
"2026-06-26","15","6","9","48.76","6"
"2026-06-26","16","6","8","38.97","7"
"2026-06-26","17","6","11","42.93","6"
"2026-06-26","18","6","15","43.08","10"
"2026-06-26","19","6","14","50.21","8"
"2026-06-26","20","6","9","48.97","9"
"2026-06-26","21","6","10","41.16","8"
"2026-06-26","22","6","8","35.81","5"
"2026-06-26","23","6","4","40.57","4"
"2026-06-27","0","7","2","53.71","2"
"2026-06-27","1","7","3","58.21","3"
"2026-06-27","2","7","1","18.57","1"
"2026-06-27","3","7","1","80.05","1"
"2026-06-27","4","7","1","9.71","1"
"2026-06-27","5","7","1","43.16","1"
"2026-06-27","6","7","1","39.33","1"
"2026-06-27","7","7","12","46.17","7"
"2026-06-27","8","7","15","33.52","9"
"2026-06-27","9","7","15","40.56","7"
"2026-06-27","10","7","7","48.00","6"
"2026-06-27","11","7","4","46.46","4"
"2026-06-27","12","7","6","45.77","4"
"2026-06-27","13","7","6","35.70","4"
"2026-06-27","14","7","5","40.72","4"
"2026-06-27","15","7","5","48.18","4"
"2026-06-27","16","7","5","44.22","5"
"2026-06-27","17","7","11","45.27","7"
"2026-06-27","18","7","13","35.83","8"
"2026-06-27","19","7","13","43.24","8"
"2026-06-27","20","7","6","31.75","4"
"2026-06-27","21","7","4","41.53","4"
"2026-06-27","22","7","4","48.23","4"
"2026-06-27","23","7","1","20.27","1"
"2026-06-28","0","1","2","46.34","2"
"2026-06-28","1","1","1","26.62","1"
"2026-06-28","2","1","1","51.28","1"
"2026-06-28","3","1","2","23.35","1"
"2026-06-28","4","1","2","28.25","1"
"2026-06-28","5","1","3","22.06","3"
"2026-06-28","6","1","1","26.51","1"
"2026-06-28","7","1","14","42.58","9"
"2026-06-28","8","1","11","35.64","9"
"2026-06-28","9","1","12","47.32","8"
"2026-06-28","10","1","3","51.48","3"
"2026-06-28","11","1","5","34.88","4"
"2026-06-28","12","1","5","46.08","5"
"2026-06-28","13","1","5","35.66","5"
"2026-06-28","14","1","4","39.79","4"
"2026-06-28","15","1","5","33.91","5"
"2026-06-28","16","1","5","37.31","5"
"2026-06-28","17","1","13","40.78","8"
